x_mm,y_mm,irradiance_lux
390.00,-1320.00,68.746285
420.00,-1320.00,67.428870
450.00,-1320.00,65.959858
480.00,-1320.00,64.489058
510.00,-1320.00,62.957193
540.00,-1320.00,61.340732
570.00,-1320.00,59.804335
600.00,-1320.00,58.165880
630.00,-1320.00,56.585274
660.00,-1320.00,54.918427
690.00,-1320.00,53.345215
720.00,-1320.00,51.726491
750.00,-1320.00,50.096154
780.00,-1320.00,48.565953
810.00,-1320.00,46.979496
840.00,-1320.00,45.419001
870.00,-1320.00,43.912383
900.00,-1320.00,42.435639
930.00,-1320.00,40.990682
960.00,-1320.00,39.534704
990.00,-1320.00,38.179992
1020.00,-1320.00,36.817965
1050.00,-1320.00,35.513307
1080.00,-1320.00,34.225464
1110.00,-1320.00,32.994752
1140.00,-1320.00,31.800768
1170.00,-1320.00,30.626278
1200.00,-1320.00,29.523801
1230.00,-1320.00,28.439760
1260.00,-1320.00,27.392022
1290.00,-1320.00,26.379540
1320.00,-1320.00,25.401731
1350.00,-1320.00,24.458411
1380.00,-1320.00,23.562470
1410.00,-1320.00,22.670850
1440.00,-1320.00,21.852317
1470.00,-1320.00,21.036838
1500.00,-1320.00,20.251818
-1500.00,-1290.00,20.942065
-1470.00,-1290.00,21.753214
-1440.00,-1290.00,22.609473
-1410.00,-1290.00,23.499505
-1380.00,-1290.00,24.408877
-1350.00,-1290.00,25.383375
-1320.00,-1290.00,26.379541
-1290.00,-1290.00,27.412696
-1260.00,-1290.00,28.483628
-1230.00,-1290.00,29.593615
-1200.00,-1290.00,30.760870
-1170.00,-1290.00,31.950410
-1140.00,-1290.00,33.199212
-1110.00,-1290.00,34.490523
-1080.00,-1290.00,35.803409
-1050.00,-1290.00,37.156953
-1020.00,-1290.00,38.594577
-990.00,-1290.00,40.030478
-960.00,-1290.00,41.552085
-930.00,-1290.00,43.067827
-900.00,-1290.00,44.620980
-870.00,-1290.00,46.260656
-840.00,-1290.00,47.912039
-810.00,-1290.00,49.596074
-780.00,-1290.00,51.284633
-750.00,-1290.00,52.998766
-720.00,-1290.00,54.766099
-690.00,-1290.00,56.553320
-660.00,-1290.00,58.297024
-630.00,-1290.00,60.080969
-600.00,-1290.00,61.869817
-570.00,-1290.00,63.593393
-540.00,-1290.00,65.408808
-510.00,-1290.00,67.110015
-480.00,-1290.00,68.746266
-450.00,-1290.00,70.239232
-420.00,-1290.00,71.628411
-390.00,-1290.00,72.976346
-360.00,-1290.00,74.267263
-330.00,-1290.00,75.472680
-300.00,-1290.00,76.606329
-270.00,-1290.00,77.661673
-240.00,-1290.00,78.610527
-210.00,-1290.00,79.479838
-180.00,-1290.00,80.241952
-150.00,-1290.00,80.891054
-120.00,-1290.00,81.435267
-90.00,-1290.00,81.869332
-60.00,-1290.00,82.157683
-30.00,-1290.00,82.354548
0.00,-1290.00,82.412642
30.00,-1290.00,82.354548
60.00,-1290.00,82.157683
90.00,-1290.00,81.869332
120.00,-1290.00,81.435267
150.00,-1290.00,80.891054
180.00,-1290.00,80.241952
210.00,-1290.00,79.479838
240.00,-1290.00,78.610527
270.00,-1290.00,77.661673
300.00,-1290.00,76.606329
330.00,-1290.00,75.472680
360.00,-1290.00,74.267263
390.00,-1290.00,72.976346
420.00,-1290.00,71.628411
450.00,-1290.00,70.239232
480.00,-1290.00,68.746266
510.00,-1290.00,67.110015
540.00,-1290.00,65.408808
570.00,-1290.00,63.593393
600.00,-1290.00,61.869817
630.00,-1290.00,60.080969
660.00,-1290.00,58.297024
690.00,-1290.00,56.553320
720.00,-1290.00,54.766099
750.00,-1290.00,52.998766
780.00,-1290.00,51.284633
810.00,-1290.00,49.596074
840.00,-1290.00,47.912039
870.00,-1290.00,46.260656
900.00,-1290.00,44.620980
930.00,-1290.00,43.067827
960.00,-1290.00,41.552085
990.00,-1290.00,40.030478
1020.00,-1290.00,38.594577
1050.00,-1290.00,37.156953
1080.00,-1290.00,35.803409
1110.00,-1290.00,34.490523
1140.00,-1290.00,33.199212
1170.00,-1290.00,31.950410
1200.00,-1290.00,30.760870
1230.00,-1290.00,29.593615
1260.00,-1290.00,28.483628
1290.00,-1290.00,27.412696
1320.00,-1290.00,26.379541
1350.00,-1290.00,25.383375
1380.00,-1290.00,24.408877
1410.00,-1290.00,23.499505
1440.00,-1290.00,22.609473
1470.00,-1290.00,21.753214
1500.00,-1290.00,20.942065
-1500.00,-1260.00,21.639215
-1470.00,-1260.00,22.504132
-1440.00,-1260.00,23.389994
-1410.00,-1260.00,24.325347
-1380.00,-1260.00,25.313199
-1350.00,-1260.00,26.325094
-1320.00,-1260.00,27.392024
-1290.00,-1260.00,28.483624
-1260.00,-1260.00,29.616949
-1230.00,-1260.00,30.810469
-1200.00,-1260.00,32.047855
-1170.00,-1260.00,33.330558
-1140.00,-1260.00,34.658536
-1110.00,-1260.00,36.033333
-1080.00,-1260.00,37.454248
-1050.00,-1260.00,38.922222
-1020.00,-1260.00,40.459187
-990.00,-1260.00,41.997420
-960.00,-1260.00,43.628196
-930.00,-1260.00,45.305594
-900.00,-1260.00,47.003447
-870.00,-1260.00,48.742957
-840.00,-1260.00,50.550755
-810.00,-1260.00,52.370992
-780.00,-1260.00,54.227031
-750.00,-1260.00,56.085421
-720.00,-1260.00,58.002753
-690.00,-1260.00,59.975831
-660.00,-1260.00,61.938321
-630.00,-1260.00,63.851208
-600.00,-1260.00,65.804180
-570.00,-1260.00,67.802349
-540.00,-1260.00,69.577951
-510.00,-1260.00,71.249938
-480.00,-1260.00,72.871051
-450.00,-1260.00,74.474106
-420.00,-1260.00,76.000166
-390.00,-1260.00,77.503648
-360.00,-1260.00,78.902430
-330.00,-1260.00,80.241951
-300.00,-1260.00,81.503361
-270.00,-1260.00,82.657082
-240.00,-1260.00,83.729085
-210.00,-1260.00,84.689732
-180.00,-1260.00,85.532498
-150.00,-1260.00,86.252209
-120.00,-1260.00,86.853977
-90.00,-1260.00,87.335409
-60.00,-1260.00,87.667791
-30.00,-1260.00,87.884639
0.00,-1260.00,87.949215
30.00,-1260.00,87.884639
60.00,-1260.00,87.667791
